file,n,cpp_time,py_time,cpp_solved,cpp_valid,py_solved,py_valid
mba_obf_nonlinear,100,2.1241026999850874,86.41654319997542,100,100,100,100
mba_flatten,100,2.069677600007708,85.47378219998427,100,100,100,100
syntia,100,21.12739880000663,83.62607090000165,97,97,100,100
mba_obf_linear,100,2.097257199984597,85.63425600002302,100,100,100,100
qsynth_ea,100,110.76698200002647,91.9501879000054,83,83,100,100
neureduce,100,2.095841999998811,85.85470639998675,100,100,100,100
loki_tiny,100,2.040800999995554,85.32118910000281,100,100,100,100
